ID,step,angle,x,y,x_m,y_m,date,hour,cosHour,sinHour,behavior,Elephant,Stage,Zone
E2,0.030254367489511158,1.1710758284171907,459.5578150718712,6278.565109750878,459557.81507187115,6278565.109750878,2022-08-13T08:18:33Z,8.3,-0.566406236924833,0.8241261886220156,Foraging,E2,pre,KW_Home
E2,0.021474402865012277,1.7949594789930643,459.58371835026225,6278.580741350949,459583.71835026226,6278580.741350949,2022-08-13T08:49:02Z,8.816666666666666,-0.6723668074346679,0.7402181274868322,Resting,E2,pre,KW_Home
E2,0.0364736154565402,-1.860240060770174,459.56881367574067,6278.5962009969935,459568.8136757407,6278596.200996993,2022-08-13T09:18:43Z,9.3,-0.7604059656000309,0.6494480483301838,Resting,E2,pre,KW_Home
E2,0.011124386678785198,2.258059784620118,459.60120458611,6278.612968630992,459601.20458610996,6278612.968630992,2022-08-13T09:48:51Z,9.8,-0.8386705679454242,0.544639035015027,Resting,E2,pre,KW_Home
E2,0.0056741715832651154,0.6067313745531955,459.5909838804379,6278.617360572994,459590.98388043785,6278617.360572994,2022-08-13T10:19:00Z,10.316666666666666,-0.9044551454543679,0.42656873990145855,Resting,E2,pre,KW_Home
E2,0.023231984460819994,0.09374797582353356,459.5854238062708,6278.616228407629,459585.4238062708,6278616.228407629,2022-08-13T10:49:32Z,10.816666666666666,-0.9523957996432784,0.30486429902801077,Foraging,E2,pre,KW_Home
E2,0.2943472572920765,-0.6929227200378332,459.5631928681565,6278.609482261133,459563.1928681565,6278609.482261133,2022-08-13T11:19:32Z,11.316666666666666,-0.9840406976462909,0.17794354547384186,Movement,E2,pre,KW_Home
E2,0.5636594215343668,0.4517646520530194,459.29188626387156,6278.723644576924,459291.88626387157,6278723.644576924,2022-08-13T11:49:40Z,11.816666666666666,-0.9988483864849507,0.04797812852134419,Movement,E2,pre,KW_Home
E2,0.17158145305507091,-0.2574400962853378,458.7290323463016,6278.693521314142,458729.0323463016,6278693.521314142,2022-08-13T12:19:23Z,12.316666666666666,-0.9965655024977614,-0.08280820751220395,Foraging,E2,pre,KW_Home
E2,0.03574064550314477,1.0027736231521924,458.5610078332218,6278.728277004853,458561.0078332218,6278728.277004853,2022-08-13T12:49:30Z,12.816666666666666,-0.9772311064626789,-0.21217767215644617,Foraging,E2,pre,KW_Home
E2,0.03920560385789989,-0.6811147805772917,458.5360763706909,6278.702668101771,458536.07637069095,6278702.668101772,2022-08-13T13:20:02Z,13.333333333333334,-0.9396926207859084,-0.34202014332566866,Foraging,E2,pre,KW_Home
E2,0.05712717177171638,1.966150593491293,458.4971419547659,6278.69806477358,458497.1419547659,6278698.06477358,2022-08-13T13:49:41Z,13.816666666666666,-0.8890171414857366,-0.4578739151169564,Foraging,E2,pre,KW_Home
E2,0.32334702034063617,-0.5747354563849862,458.5251816173563,6278.648292380866,458525.18161735625,6278648.292380867,2022-08-13T14:20:10Z,14.333333333333334,-0.819152044288992,-0.5735764363510458,Movement,E2,pre,KW_Home
E2,0.1906544156420602,0.30669282246669005,458.5052454856763,6278.3255605320865,458505.24548567634,6278325.5605320865,2022-08-13T14:49:56Z,14.816666666666666,-0.7402181274868322,-0.6723668074346678,Movement,E2,pre,KW_Home
E2,0.06658244331811478,-0.282475953949608,458.5514895803178,6278.1405994823635,458551.4895803178,6278140.599482363,2022-08-13T15:20:02Z,15.333333333333334,-0.6427876096865395,-0.7660444431189779,Movement,E2,pre,KW_Home
E2,0.5801488383021294,2.9494556420566305,458.54899480156206,6278.074063793916,458548.99480156205,6278074.063793916,2022-08-13T15:50:32Z,15.833333333333334,-0.5372996083468234,-0.8433914458128859,Movement,E2,pre,KW_Home
E2,0.5529745510990292,3.1402265660101634,458.6810380999626,6278.63898612657,458681.03809996264,6278638.98612657,2022-08-13T16:20:14Z,16.333333333333332,-0.42261826174069994,-0.9063077870366497,Movement,E2,pre,KW_Home
E2,0.05866326927927552,-1.067702233852462,458.5544442684041,6278.100697304491,458554.4442684041,6278100.697304491,2022-08-13T16:50:21Z,16.833333333333332,-0.3007057995042738,-0.9537169507482267,Movement,E2,pre,KW_Home
E2,0.1301156318473506,-1.3568663005230128,458.49793950900545,6278.084930525244,458497.93950900546,6278084.930525244,2022-08-13T17:20:28Z,17.333333333333332,-0.1736481776669312,-0.9848077530122079,Movement,E2,pre,KW_Home
E2,0.5147350425421002,-0.9836100305203999,458.4371584605928,6278.199977219264,458437.1584605928,6278199.977219264,2022-08-13T17:51:02Z,17.85,-0.039259815759068124,-0.9992290362407229,Movement,E2,pre,KW_Home
E2,0.518310050126375,0.25233956083911324,458.68283572548086,6278.652298836631,458682.83572548087,6278652.298836632,2022-08-13T18:21:02Z,18.35,0.09150161866340271,-0.9958049275746617,Movement,E2,pre,KW_Home
E2,0.2954847666777825,-2.1930444665327467,458.80866936674505,6279.155102180682,458808.66936674505,6279155.102180682,2022-08-13T18:50:54Z,18.833333333333332,0.21643961393810246,-0.9762960071199335,Movement,E2,pre,KW_Home
E2,0.2798542360750191,0.7645592191829784,458.99977536005105,6278.929736374355,458999.775360051,6278929.736374355,2022-08-13T19:20:59Z,19.333333333333332,0.34202014332566816,-0.9396926207859085,Movement,E2,pre,KW_Home
E2,0.2842089258434894,1.109326567740391,459.2781488326914,6278.900985666898,459278.14883269137,6278900.985666898,2022-08-13T19:51:22Z,19.85,0.4656145203251113,-0.8849876374630419,Movement,E2,pre,KW_Home
E2,0.1641858837287636,1.1217774976612132,459.4301713543942,6279.141118685086,459430.1713543942,6279141.118685086,2022-08-13T20:21:32Z,20.35,0.5771451900372342,-0.8166415551616786,Foraging,E2,pre,KW_Home
E2,0.009965670774118314,0.28675144551754217,459.34332122599113,6279.2804530297835,459343.3212259911,6279280.453029783,2022-08-13T20:51:13Z,20.85,0.6788007455329421,-0.7343225094356852,Resting,E2,pre,KW_Home
E2,0.012435148635802992,-0.20050312953671812,459.33587286337087,6279.287073942731,459335.87286337087,6279287.073942731,2022-08-13T21:21:21Z,21.35,0.7688418320734597,-0.6394390019805846,Resting,E2,pre,KW_Home
E2,0.010731343250782137,-2.525341622199654,459.32841039361165,6279.297021026056,459328.41039361164,6279297.021026056,2022-08-13T21:51:32Z,21.85,0.8457278217039738,-0.5336145159156106,Resting,E2,pre,KW_Home
E2,0.18729571832142608,1.2920224476736037,459.3386272438476,6279.29373808542,459338.6272438476,6279293.73808542,2022-08-13T22:21:34Z,22.35,0.9081431738250813,-0.4186597375374281,Foraging,E2,pre,KW_Home
E2,0.08951466213312756,0.7290225572666308,459.4427813618603,6279.449403129031,459442.7813618603,6279449.403129032,2022-08-13T22:52:02Z,22.866666666666667,0.9563047559630357,-0.29237170472273627,Foraging,E2,pre,KW_Home
E2,0.011564502018612716,-0.831773041862411,459.43034842100315,6279.538050163491,459430.34842100315,6279538.050163491,2022-08-13T23:21:46Z,23.35,0.9855560590580779,-0.16934950384902406,Foraging,E2,pre,KW_Home
E2,0.018846951729401585,2.090039183303724,459.437731306043,6279.546951327203,459437.73130604305,6279546.951327203,2022-08-13T23:51:54Z,23.85,0.9992290362407229,-0.03925981575906819,Foraging,E2,pre,KW_Home
E2,0.16149647192055927,-0.5240542985498848,459.41916629351425,6279.550199080164,459419.16629351425,6279550.199080164,2022-08-14T00:21:59Z,0.35,0.9958049275746618,0.09150161866340238,Foraging,E2,pre,KW_Home
E2,0.0011087347851654148,-0.8693140597404594,459.2953604273999,6279.653896804143,459295.36042739986,6279653.896804143,2022-08-14T00:52:06Z,0.8666666666666667,0.9743700647852352,0.224951054343865,Resting,E2,pre,KW_Home
E2,9.275663299973258e-4,1.5707963734495944,459.2953557252036,6279.655005528957,459295.3557252036,6279655.005528958,2022-08-14T01:22:32Z,1.3666666666666667,0.9366721892483976,0.35020738125946743,Resting,E2,pre,KW_Home
E2,0.04758697949721641,-2.102258810153227,459.29442816721564,6279.655001595062,459294.42816721566,6279655.001595061,2022-08-14T01:52:17Z,1.8666666666666667,0.882947592858927,0.4694715627858908,Resting,E2,pre,KW_Home
E2,0.0038723997765891483,1.8118755889148064,459.31837079347287,6279.69612666364,459318.37079347286,6279696.12666364,2022-08-14T02:22:40Z,2.3666666666666667,0.8141155183563192,0.5807029557109398,Resting,E2,pre,KW_Home
E2,0.007816375473550801,-1.3993657773720494,459.3146558458092,6279.697219661301,459314.6558458092,6279697.219661301,2022-08-14T02:53:23Z,2.8833333333333333,0.7283709698824002,0.6851829903263591,Resting,E2,pre,KW_Home
E2,0.008918246160758887,-2.918445611788064,459.31555050935185,6279.704984666303,459315.55050935183,6279704.984666303,2022-08-14T03:22:46Z,3.3666666666666667,0.6360782202777641,0.7716245833877199,Resting,E2,pre,KW_Home
E2,0.002995458434425593,1.0874413227853172,459.31651566959135,6279.696118800282,459316.5156695914,6279696.1188002825,2022-08-14T03:54:15Z,3.9,0.5224985647159489,0.8526401643540922,Resting,E2,pre,KW_Home
E2,0.012834067511789365,-0.3838796688854517,459.3193030547772,6279.69502187045,459319.3030547772,6279695.021870449,2022-08-14T04:23:10Z,4.383333333333334,0.4107188526134772,0.9117620435770886,Resting,E2,pre,KW_Home
E2,0.04766976613923856,-1.669333549603809,459.32861625946543,6279.686191383072,459328.61625946546,6279686.191383071,2022-08-14T04:52:56Z,4.866666666666667,0.29237170472273677,0.9563047559630354,Resting,E2,pre,KW_Home
E2,0.014271597876250444,1.6581043175162207,459.2925730512384,6279.654993726998,459292.5730512384,6279654.993726999,2022-08-14T05:23:01Z,5.383333333333334,0.1607425656038261,0.9869963665602319,Resting,E2,pre,KW_Home
E2,0.017853552103404287,-1.1687409540227305,459.3028185011843,6279.645058473537,459302.8185011843,6279645.058473537,2022-08-14T05:53:32Z,5.883333333333333,0.03053851320982282,0.9995335908367129,Resting,E2,pre,KW_Home
E2,0.006483603061660144,-0.6598850478082585,459.2963961336716,6279.628400066703,459296.3961336716,6279628.400066703,2022-08-14T06:23:13Z,6.383333333333334,-0.1001880616120762,0.9949685182509117,Resting,E2,pre,KW_Home
E2,0.02136347815832566,1.862361479320769,459.29084490946025,6279.625050287842,459290.8449094602,6279625.050287842,2022-08-14T06:53:40Z,6.883333333333333,-0.22920039092241393,0.9733792584604485,Resting,E2,pre,KW_Home
E2,0.00556537218188178,0.7405326052265816,459.3066744584018,6279.610703734969,459306.6744584018,6279610.70373497,2022-08-14T07:23:25Z,7.383333333333334,-0.35429103799771566,0.9351352096860117,Resting,E2,pre,KW_Home
E2,0.04486676497331133,-0.12387776291188331,459.3122397805659,6279.610727330151,459312.2397805659,6279610.727330151,2022-08-14T07:54:02Z,7.9,-0.47715876025960846,0.8788171126619654,Foraging,E2,pre,KW_Home
E2,0.09903901757253274,0.8755813326508171,459.35678583313063,6279.605372351153,459356.78583313065,6279605.372351153,2022-08-14T08:23:37Z,8.383333333333333,-0.5842496656374342,0.8115739819650124,Foraging,E2,pre,KW_Home
E2,0.012180340966554808,-1.329489171368119,459.42884908232105,6279.673310669633,459428.84908232104,6279673.310669633,2022-08-14T08:53:42Z,8.883333333333333,-0.6851829903263589,0.7283709698824006,Foraging,E2,pre,KW_Home
E2,0.03209054226716803,-0.05001413464342874,459.4390803516707,6279.666701446263,459439.08035167074,6279666.701446263,2022-08-14T09:23:50Z,9.383333333333333,-0.7743926440821856,0.6327053285625162,Foraging,E2,pre,KW_Home
