ID,step,angle,x,y,x_m,y_m,date,hour,cosHour,sinHour,behavior,Stage,Elephant,Zone,month,Season
E1,0.0277108146049198,2.6643299903957525,463.1978915440447,6280.0754526242845,463197.8915440447,6280075.452624285,2022-09-07T09:16:00Z,9.266666666666667,-0.754709580222772,0.6560590289905073,Foraging,pre,E1,Home,9,Spring
E1,0.0903015611721603,-1.445469446387972,463.22476631756007,6280.08220805133,463224.7663175601,6280082.2080513295,2022-09-07T09:46:00Z,9.766666666666667,-0.8338858220671683,0.5519369853120579,Foraging,pre,E1,Home,9,Spring
E1,0.2698576100893961,2.393481198454007,463.2575547096344,6279.9980695150025,463257.5547096344,6279998.069515003,2022-09-07T10:16:00Z,10.266666666666667,-0.898794046299167,0.4383711467890773,Foraging,pre,E1,Home,9,Spring
E1,0.01821150303899,0.8000381875631213,463.3567776742136,6280.249023560643,463356.7776742136,6280249.023560643,2022-09-07T10:47:00Z,10.783333333333331,-0.9496991262018768,0.3131638064837498,Resting,pre,E1,Home,9,Spring
E1,0.0172655807229039,-0.147726583112318,463.349293284656,6280.265626053103,463349.293284656,6280265.626053103,2022-09-07T11:16:00Z,11.266666666666667,-0.981627183447664,0.1908089953765449,Resting,pre,E1,Home,9,Spring
E1,0.0459193343127857,-0.4138574256632557,463.3445917146656,6280.282239165916,463344.5917146656,6280282.239165915,2022-09-07T11:47:00Z,11.783333333333331,-0.9983916705573488,0.056692787563378,Resting,pre,E1,Home,9,Spring
E1,0.0448220200041236,-2.854327989629737,463.35091147712,6280.327721534656,463350.91147712,6280327.721534656,2022-09-07T12:17:00Z,12.283333333333331,-0.9972501850994856,-0.0741084901953989,Resting,pre,E1,Home,9,Spring
E1,0.0247470754844561,1.1994837359726909,463.3575740928629,6280.283397466378,463357.5740928629,6280283.397466378,2022-09-07T12:47:00Z,12.783333333333331,-0.9790454724845838,-0.2036417511401774,Resting,pre,E1,Home,9,Spring
E1,0.0513038849215463,0.0080967342204291,463.38171323200993,6280.2779458880495,463381.7132320099,6280277.94588805,2022-09-07T13:18:00Z,13.3,-0.9426414910921784,-0.3338068592337709,Resting,pre,E1,Home,9,Spring
E1,0.0490040808616714,1.8834121015029803,463.4318466528929,6280.267049617191,463431.8466528929,6280267.049617192,2022-09-07T13:47:00Z,13.783333333333331,-0.8929789434111371,-0.4500984410374347,Resting,pre,E1,Home,9,Spring
E1,0.0441029857132198,-1.514172518650294,463.42702273053465,6280.315815688534,463427.02273053466,6280315.815688534,2022-09-07T14:17:00Z,14.283333333333331,-0.8265897491271889,-0.5628049276950682,Resting,pre,E1,Home,9,Spring
E1,0.0659456266684648,-1.5952753476767962,463.4705954716952,6280.322634015057,463470.5954716952,6280322.634015057,2022-09-07T14:47:00Z,14.783333333333331,-0.7460573750616997,-0.6658816660008342,Resting,pre,E1,Home,9,Spring
E1,0.0320246203055453,2.116659003932093,463.4791929017464,6280.257251220124,463479.1929017464,6280257.251220124,2022-09-07T15:18:00Z,15.3,-0.6494480483301834,-0.7604059656000312,Resting,pre,E1,Home,9,Spring
E1,0.0611562447053229,0.9739053394632332,463.5041625669023,6280.277303455105,463504.1625669024,6280277.303455105,2022-09-07T15:48:00Z,15.8,-0.544639035015027,-0.838670567945424,Resting,pre,E1,Home,9,Spring
E1,0.0154507659440799,-0.4444235254619271,463.4992926366672,6280.338265492849,463499.2926366672,6280338.265492849,2022-09-07T16:19:00Z,16.316666666666666,-0.4265687399014586,-0.904455145454368,Resting,pre,E1,Home,9,Spring
E1,0.105210851157087,-0.1993546981845926,463.5048035644814,6280.352700029312,463504.8035644814,6280352.700029312,2022-09-07T16:48:00Z,16.8,-0.3090169943749475,-0.9510565162951536,Foraging,pre,E1,Home,9,Spring
E1,0.1184383085579075,0.1138069103751393,463.5610518201032,6280.441612665875,463561.0518201032,6280441.612665875,2022-09-07T17:18:00Z,17.3,-0.1822355254921477,-0.9832549075639544,Foraging,pre,E1,Home,9,Spring
